bare_word	source_type_id	source_id	permanent_id
весь	2	12	484273
человек	2	34	430458
год	2	49	380127
время	2	56	991230
рука	2	57	993275
стать	2	61	629743
наш	2	63	247258
дело	2	67	915939
раз	2	74	290529
глаз	2	78	189987
день	2	80	580115
жизнь	2	81	589062
тут	2	83	507162
голова	2	92	385843
друг	2	97	959168
дом	2	100	820621
слово	2	104	317379
место	2	106	768457
лицо	2	110	566658
сторона	2	120	642555
нога	2	127	993250
работа	2	132	686207
дверь	2	140	351705
конец	2	143	442145
город	2	144	440733
голос	2	147	625537
час	2	148	820765
уж	2	150	507933
земля	2	153	705016
сила	2	156	249203
вода	2	157	204484
случай	2	162	585538
стол	2	165	468204
машина	2	166	163805
мир	2	167	353068
ночь	2	168	565627
женщина	2	169	848139
ребёнок	2	173	772570
вид	2	175	515228
отец	2	176	379826
вопрос	2	177	331551
ряд	2	181	577727
страна	2	185	492170
война	2	190	373243
минута	2	197	519526
товарищ	2	199	729682
правда	2	203	425327
часть	2	208	823198
дорога	2	211	847181
свет	2	212	937738
жена	2	213	294943
окно	2	216	825758
Россия	2	217	134009
мать	2	218	629581
Москва	2	221	723971
улица	2	223	948552
комната	2	230	555693
утро	2	231	579327
вечер	2	233	908495
душа	2	235	664250
книга	2	236	365234
плечо	2	237	933209
пол	2	241	220760
народ	2	244	141505
взгляд	2	246	951553
история	2	249	292819
бог	2	253	610728
палец	2	258	338169
имя	2	262	983648
мысль	2	265	756894
разговор	2	274	838862
право	2	278	575803
лес	2	279	355363
пять	2	280	746266
сын	2	282	373632
путь	2	283	404054
тысяча	2	284	821155
пора	2	285	220318
стена	2	290	669667
спина	2	302	965475
месяц	2	303	459180
тело	2	308	499931
язык	2	312	783589
мама	2	313	231157
старик	2	315	813390
смерть	2	317	732844
власть	2	318	116377
мальчик	2	319	133422
образ	2	322	526763
письмо	2	323	967778
отношение	2	325	575833
сердце	2	326	772886
начальник	2	328	357723
девушка	2	334	665369
солдат	2	335	579953
небо	2	339	305348
система	2	341	672594
воздух	2	342	991463
ребята	2	351	830266
брат	2	352	936631
квартира	2	353	423687
генерал	2	358	357823
кровь	2	365	361659
шаг	2	367	297308
хозяин	2	369	557718
внимание	2	370	882372
школа	2	381	851546
труд	2	383	290072
капитан	2	384	698999
парень	2	389	515251
группа	2	390	144031
солнце	2	391	596981
любовь	2	392	383096
ухо	2	394	524933
неделя	2	396	776623
ответ	2	401	425760
берег	2	407	395782
помощь	2	408	746067
мужчина	2	409	373081
момент	2	410	538420
газета	2	414	962153
чувство	2	419	183355
порядок	2	420	616923
семья	2	421	831710
армия	2	422	409023
возможность	2	425	437317
движение	2	430	386876
муж	2	431	786545
нос	2	432	443018
огонь	2	435	653533
двор	2	436	219635
угол	2	445	253705
смысл	2	446	789292
общество	2	448	281699
грудь	2	449	893781
дерево	2	452	751175
немец	2	453	620826
губа	2	454	532530
снег	2	455	229501
дядя	2	457	432261
очередь	2	459	665834
форма	2	461	185455
закон	2	462	752917
собака	2	465	143449
состояние	2	471	861402
сон	2	473	222461
карман	2	476	878407
девочка	2	480	767236
камень	2	481	243190
ветер	2	483	944409
проблема	2	484	135378
связь	2	485	295415
гость	2	487	388045
зуб	2	489	445995
мера	2	490	930988
век	2	491	682665
номер	2	493	536211
средство	2	496	293630
действие	2	498	747418
ход	2	499	379788
государство	2	500	774473
глава	2	506	661511
партия	2	507	164686
край	2	508	587049
река	2	510	997132
судьба	2	511	118652
рота	2	512	630272
речь	2	514	311193
причина	2	518	387982
гора	2	519	320892
страх	2	521	132066
море	2	524	588997
зал	2	525	846956
врач	2	527	168282
командир	2	530	989040
боль	2	534	853087
господин	2	535	871587
вещь	2	537	425340
результат	2	538	723106
число	2	539	141154
цель	2	540	729419
положение	2	544	646950
писатель	2	546	687359
бумага	2	548	448047
план	2	551	871514
черта	2	552	841482
документ	2	558	933195
волос	2	567	701635
пара	2	569	591220
след	2	570	354842
решение	2	572	162048
класс	2	578	327288
условие	2	579	341584
центр	2	580	424287
встреча	2	585	678636
директор	2	586	111494
рубль	2	587	357488
служба	2	589	394725
процесс	2	590	439163
президент	2	593	264811
память	2	594	513648
герой	2	600	495001
дух	2	601	266896
враг	2	605	866453
счастье	2	610	953318
удар	2	611	841048
самолёт	2	614	946145
деревня	2	617	744576
картина	2	618	389422
будущее	2	621	830421
коридор	2	622	631851
ум	2	627	758362
кабинет	2	632	585509
колено	2	635	286211
бутылка	2	639	431113
телефон	2	643	428351
компания	2	644	168640
доктор	2	647	929700
автор	2	650	668730
мужик	2	651	837046
интерес	2	653	478747
счёт	2	658	233232
лейтенант	2	661	466006
оружие	2	662	835968
игра	2	663	343572
бой	2	668	346835
качество	2	669	642817
член	2	673	519696
хлеб	2	675	534592
развитие	2	680	132658
банк	2	682	902437
совет	2	683	878220
трубка	2	686	709507
ладонь	2	687	570328
институт	2	690	967296
правительство	2	693	844915
идея	2	697	305019
точка	2	698	257804
уровень	2	699	271185
профессор	2	700	687622
наука	2	701	513866
событие	2	702	155193
союз	2	703	553066
король	2	704	449754
половина	2	705	284010
метр	2	706	969055
вера	2	708	505074
область	2	710	110555
ситуация	2	712	950251
кухня	2	713	150980
надежда	2	714	848053
род	2	715	282252
офицер	2	716	822277
течение	2	718	716677
информация	2	719	415951
граница	2	731	247621
слеза	2	732	576018
рассказ	2	734	662662
трава	2	737	736860
тридцать	2	740	478530
борьба	2	741	632516
шея	2	743	288459
десяток	2	744	279308
толпа	2	746	284753
родитель	2	748	424679
правило	2	749	693155
секунда	2	751	912966
программа	2	756	470353
фамилия	2	757	831525
звук	2	758	613158
роман	2	759	397804
чай	2	763	700447
роль	2	765	609563
сознание	2	766	819526
команда	2	768	125433
магазин	2	772	607398
ворот	2	775	623830
полковник	2	777	963807
природа	2	778	317550
запах	2	780	539679
поэт	2	781	811810
